ethnicity,income,age,sex,education,marriage,children,k
30,30,50,1,30,0,30,541
30,30,50,1,30,1,30,823
30,30,50,1,30,2,30,2020
30,30,50,1,30,3,30,432
30,30,50,1,31,0,30,736
30,30,50,1,31,1,30,1618
30,30,50,1,31,2,30,3400
30,30,50,1,31,3,30,687
30,30,50,2,30,0,30,489
30,30,50,2,30,1,30,1607
30,30,50,2,30,2,30,2649
30,30,50,2,30,3,30,433
30,30,50,2,31,0,30,794
30,30,50,2,31,1,30,2908
30,30,50,2,31,2,30,3203
30,30,50,2,31,3,30,787
30,30,100,1,30,0,30,719
30,30,100,1,30,1,30,4664
30,30,100,1,30,2,30,2085
30,30,100,1,30,3,30,1025
30,30,100,1,31,0,30,843
30,30,100,1,31,1,30,3443
30,30,100,1,31,2,30,10142
30,30,100,1,31,3,30,1184
30,30,100,2,30,0,30,804
30,30,100,2,30,1,30,2107
30,30,100,2,30,2,30,2685
30,30,100,2,30,3,30,790
30,30,100,2,31,0,30,1280
30,30,100,2,31,1,30,2613
30,30,100,2,31,2,30,4875
30,30,100,2,31,3,30,1807
